Percent of Students Chronically Absent,Percent HRA Eligible,Student Percent - Black and Hispanic,Percent Students with IEPs,log_dropout_rate,log_temp_housing,log_percent_overage,Economic Need Index,Percent English Language Learners,Average Grade 8 Proficiency,Percent College Ready based on SAT Math,Metric Value - College Persistence,Supportive Environment - Element Score,Graduation Rate,Metric Value - Average Regents Score - English,Metric Value - College and Career Preparatory Course Index,Took_ACT,Rigorous Instruction - Element Score,Percentage of Students Enrolled in Any Advanced Course,log_enrollment
0.334,0.463,0.5820000000000001,0.23,0.011928570865273812,0.05354076692802976,0.004987541511038968,0.539,0.029,3.19,0.239,0.728,3.37,0.9735,0.00744,0.967,1.0,3.56,0.66,6.045005314036012
0.191,0.377,0.423,0.208,0.0,0.03343477608623742,0.001998002662673058,0.453,0.005,3.705,0.718,0.889,3.7,0.986,0.00877,0.725,1.0,3.52,0.688,7.284134806195205
0.23,0.249,0.294,0.046,0.002496880198587146,0.02176149178151271,0.005982071677547469,0.334,0.007,3.82,0.675,0.79,3.5770989010989007,0.9915,0.00857,0.991,1.0,4.27,0.734,7.774435510302958
0.657,0.782,0.893,0.177,0.046406372814155834,0.13714983814723364,0.06109509935981083,0.845,0.093,2.675,0.056,0.439,2.76,0.8654999999999999,0.00785,0.837,0.0,3.62,0.546,6.091309882077698
0.569,0.813,0.946,0.256,0.10029772131536387,0.12221763272424911,0.05921185963184603,0.883,0.072,2.545,0.064,0.313,2.85,0.8565,0.00664,0.917,0.0,1.88,0.611,6.100318952020064
0.139,0.55,0.523,0.181,0.0,0.04114194333117521,0.01291622526654623,0.639,0.006,3.675,0.867,0.917,4.21,0.9865,0.00859,0.938,1.0,4.32,0.918,6.1675164908883415
0.423,0.75,0.861,0.218,0.0,0.06297479916138839,0.002995508979798371,0.832,0.029,3.195,0.177,0.797,3.51,0.9875,0.0081,0.614,0.0,3.86,0.679,5.733341276897745
0.224,0.224,0.312,0.171,0.0,0.005982071677547469,0.005982071677547469,0.324,0.018,3.865,0.667,0.862,4.43,1.0,0.0085799999999999,1.0,1.0,4.97,0.824,5.14166355650266
0.32,0.857,0.933,0.303,0.05306672093669223,0.18148787604537725,0.07325046173959274,0.912,0.131,2.365,0.03,0.302,3.95,0.901,0.00524,0.799,0.0,2.87,0.685,5.529429087511423
0.332,0.833,0.927,0.246,0.07881118042428965,0.2295231582782488,0.04783732941416006,0.0,0.374,2.31,0.0,0.341,3.47,0.923,0.0068299999999999,0.418,0.0,3.35,0.383,5.799092654460527
0.16,0.657,0.647,0.175,0.007968169649176881,0.08801087732271339,0.018821754240587667,0.736,0.061,3.415,0.654,0.696,4.49,0.9845,0.0084099999999999,0.968,1.0,4.94,0.818,7.407924322559599
0.278,0.662,0.862,0.242,0.010939940038334263,0.10074990310014315,0.03343477608623742,0.759,0.026,3.12,0.268,0.674,4.11,1.0,0.00782,0.928,0.0,4.02,0.587,5.955837369464831
0.079,0.684,0.754,0.217,0.0,0.0962188577405429,0.015873349156290163,0.755,0.02,3.33,0.551,0.854,4.34,0.996,0.00818,0.941,0.0,4.77,0.793,6.222576268071369
0.373,0.84,0.928,0.266,0.0643822589292682,0.1484200051182732,0.06109509935981083,0.898,0.056,2.435,0.014,0.397,3.54,0.7905,0.00707,0.401,0.0,2.25,0.398,5.768320995793772
0.59,0.771,0.917,0.369,0.08801087732271339,0.1587116911548208,0.03729578474369693,0.864,0.089,2.27,0.077,0.404,3.74,0.8360000000000001,0.00663,0.788,0.0,3.27,0.268,5.062595033026967
0.673,0.849,0.98,0.375,0.16041672140590463,0.21268909341035094,0.11778303565638346,0.915,0.086,2.245,0.0,0.254,3.75,0.7475,0.00735,0.07,0.0,2.61,0.513,5.030437921392435
0.681,0.839,0.917,0.275,0.09531017980432495,0.175632568643158,0.07973496801885353,0.906,0.155,2.53,0.037,0.156,3.13,0.8674999999999999,0.00741,0.25,0.0,2.7,0.451,5.267858159063328
0.122,0.406,0.601,0.224,0.0,0.0695260626486103,0.009950330853168092,0.518,0.005,3.735,0.731,0.787,3.5770989010989007,0.9945,0.0085799999999999,0.925,1.0,4.71,0.643,5.996452088619021
0.731,0.839,0.955,0.3,0.060153922819747144,0.19309662996191315,0.04783732941416006,0.899,0.049,2.395,0.014,0.34,2.71,0.8214999999999999,0.00648,0.771,0.0,3.09,0.738,5.5909869805108565
0.546,0.779,0.939,0.201,0.08042724911261455,0.1336563848126736,0.04305948946044701,0.863,0.073,2.615,0.086,0.513,2.58,0.8315,0.00663,0.679,0.0,2.22,0.372,6.466144724237619
0.312,0.81,0.916,0.268,0.03052920503482279,0.1231021971339834,0.04305948946044701,0.878,0.028,2.4850000000000003,0.08,0.468,3.96,0.8945000000000001,0.00678,0.867,0.0,3.14,0.551,5.774551545544408
0.122,0.31,0.272,0.076,0.0,0.02273948696948934,0.003992021269537457,0.39,0.0,4.135,0.923,0.806,4.39,1.0,0.00927,1.0,1.0,4.69,0.995,6.320768294250582
0.441,0.829,0.977,0.251,0.03777736433402992,0.16211884947643512,0.03729578474369693,0.884,0.156,2.62,0.052,0.596,3.52,0.8979999999999999,0.00638,0.505,0.0,2.63,0.45,5.988961416889864
0.334,0.791,0.965,0.194,0.008959741371471801,0.09803374027136541,0.005982071677547469,0.863,0.065,3.01,0.298,0.742,3.5,0.9705,0.0069999999999999,0.917,0.0,3.22,0.809,5.831882477283517
0.463,0.84,0.967,0.204,0.015873349156290163,0.11955923505763925,0.024692612590371414,0.913,0.154,2.89,0.148,0.433,4.16,0.8995,0.00773,0.852,0.0,3.77,0.636,5.8971538676367405
0.606,0.832,0.956,0.249,0.06250520535139711,0.10436001532424286,0.01291622526654623,0.893,0.17,2.655,0.175,0.561,3.88,0.939,0.00639,0.582,0.0,4.57,0.684,6.118097198041348
0.519,0.805,0.969,0.274,0.02810143011087478,0.2295231582782488,0.05921185963184603,0.933,0.422,2.47,0.012,0.467,3.6,0.917,0.00582,0.679,0.0,3.7,0.578,5.799092654460527
0.524,0.776,0.969,0.215,0.0,0.302324349188651,0.06859279146561167,0.947,0.328,2.51,0.024,0.191,3.32,0.902,0.00625,0.47,0.0,2.9,0.681,5.7899601708972535
0.584,0.828,0.959,0.214,0.07834896641097633,0.21833199431698772,0.08984070399978955,0.945,0.367,2.505,0.027,0.271,2.88,0.7475,0.0056999999999999,0.384,0.0,2.82,0.328,5.888877958332881
0.427,0.841,0.946,0.254,0.12266001273588754,0.17311261770864483,0.09257918129309317,0.932,0.316,2.35,0.026,0.367,3.58,0.794,0.00648,0.288,0.0,3.56,0.53,5.916202062607436
0.469,0.8,0.935,0.185,0.08801087732271339,0.151862349309246,0.05354076692802976,0.874,0.145,2.655,0.128,0.469,3.03,0.8265,0.0069799999999999,0.493,0.0,2.66,0.641,7.1444071803211395
0.31,0.747,0.958,0.08,0.023716526617316065,0.3249778571954777,0.06109509935981083,0.0,0.774,2.1500000000000004,0.0,0.357,4.08,0.98,0.0058299999999999,0.873,0.0,3.72,0.561,6.3578422665081
0.303,0.861,0.979,0.26,0.0,0.1510028735365274,0.02078253918252841,0.924,0.034,2.54,0.079,0.444,3.98,0.983,0.00755,0.612,0.0,4.32,0.323,5.945420608606575
0.373,0.85,0.981,0.169,0.010939940038334263,0.12575120530556025,0.007968169649176881,0.919,0.033,3.14,0.192,0.555,4.02,0.943,0.0074199999999999,0.803,0.0,3.94,0.735,5.90536184805457
0.607,0.902,0.959,0.228,0.06578774053800315,0.18730909830499368,0.07973496801885353,0.934,0.115,2.48,0.009,0.571,3.48,0.8685,0.00711,0.744,0.0,3.73,0.513,6.51025834052315
0.468,0.655,0.933,0.101,0.06391332574365285,0.34712953109520095,0.268499253035007,0.0,0.884,1.775,0.019,0.196,3.91,0.8474999999999999,0.00588,0.667,0.0,3.99,0.39,5.796057750765372
0.691,0.884,0.954,0.273,0.13932706522109914,0.2342812957246657,0.10975086395911929,0.935,0.185,2.2350000000000003,0.0,0.263,4.05,0.7424999999999999,0.00642,0.239,0.0,3.73,0.269,5.37989735354046
0.511,0.943,0.972,0.32,0.09531017980432495,0.15785808461558032,0.06109509935981083,0.0,0.137,2.285,0.018,0.129,3.55,0.6705000000000001,0.00616,0.281,0.0,3.19,0.874,5.170483995038151
0.208,0.721,0.873,0.202,0.0,0.07417939817425147,0.017839918128331016,0.805,0.042,3.325,0.299,0.781,4.36,0.9965,0.00832,0.993,1.0,3.79,0.926,6.3473892096560105
0.335,0.795,0.97,0.224,0.029073247485707165,0.10885440491208206,0.04401688541677426,0.88,0.039,2.855,0.291,0.357,3.76,0.9335,0.00789,0.722,0.0,3.17,0.65,5.805134968916488
0.5,0.886,0.974,0.417,0.1501426584297194,0.16551443847757333,0.06765864847381486,0.931,0.158,2.29,0.0,0.186,3.26,0.707,0.00685,0.459,0.0,3.12,0.575,5.43372200355424
0.62,0.874,0.963,0.281,0.12266001273588754,0.1839868361130158,0.0778865386570712,0.934,0.135,2.495,0.049,0.392,3.66,0.8400000000000001,0.006,0.67,0.0,3.02,0.648,6.0088131854425955
0.474,0.933,0.979,0.293,0.11019879229807555,0.1747932903731631,0.08434114843375096,0.0,0.174,2.1950000000000003,0.0,0.327,3.69,0.7589999999999999,0.00576,0.11,0.0,3.52,0.402,6.066108090103747
0.764,0.0,0.941,0.291,0.10165365372649982,0.16889853646181388,0.06297479916138839,0.0,0.144,2.195,0.0,0.468,3.17,0.8035,0.00576,0.285,0.0,4.44,0.294,5.872117789475415
0.525,0.829,0.949,0.291,0.051168286574399424,0.15614868248993138,0.04305948946044701,0.899,0.132,2.435,0.023,0.366,3.04,0.9385,0.0072299999999999,0.837,0.0,2.33,0.452,6.016157159698353
0.476,0.882,0.952,0.225,0.036331929247390204,0.23111172096338664,0.035367143837291344,0.932,0.16,2.375,0.075,0.4853171247357294,3.5770989010989007,0.90875,0.00684,0.6569582463465553,0.0,3.4736402569593148,0.349,5.135798437050262
0.517,0.892,0.959,0.318,0.10210522293715359,0.18730909830499368,0.0778865386570712,0.0,0.112,2.24,0.022,0.348,3.47,0.764,0.00626,0.253,0.0,2.16,0.35,5.4116460518550396
0.646,0.888,0.979,0.242,0.06672363204290813,0.09531017980432495,0.014888612493750559,0.932,0.091,2.535,0.045,0.415,3.25,0.897,0.00705,0.485,0.0,2.52,0.266,5.805134968916488
0.487,0.832,0.706,0.156,0.11243542932978817,0.1501426584297194,0.09712671073072283,0.896,0.198,2.38,0.088,0.328,2.95,0.7915,0.00607,0.789,0.0,3.19,0.737,5.123963979403259
0.558,0.752,0.913,0.234,0.06719124954032317,0.09257918129309317,0.03729578474369693,0.804,0.05,2.59,0.047,0.381,3.91,0.882,0.00736,0.689,0.0,3.86,0.414,6.049733455231958
0.592,0.852,0.919,0.262,0.036331929247390204,0.1231021971339834,0.05921185963184603,0.9,0.058,2.62,0.021,0.225,3.12,0.8385,0.00702,0.686,0.0,2.35,0.604,5.886104031450156
0.629,0.801,0.823,0.244,0.10436001532424286,0.10345870836822997,0.06859279146561167,0.861,0.074,2.555,0.1,0.269,2.82,0.824,0.00616,0.378,1.0,2.77,0.347,5.7430031878094825
0.63,0.755,0.741,0.186,0.15315017949367474,0.10526051065749292,0.11422114409002285,0.833,0.167,2.5,0.052,0.37,2.53,0.8505,0.00573,0.265,0.0,2.25,0.402,5.918893854273146
