,Percent No High School (25+),Percent Bachelor's Degree or Higher (25+),Percent Language Other Than English at Home,Percent Population with Disabilities,Percent Foreign-Born Population,Percent Households with Broadband Internet,Median Household Income,Percent Households on SNAP/Food Stamps,zip code tabulation area
350,1.3,77.1,32.6,7.8,28.1,95.8,151339,3.9,01720
351,1.1,61.2,27.3,8.8,21.9,94.7,124311,6.7,01721
352,3.2,68.9,24.8,10.4,26.1,96.1,143424,5.0,01730
353,0.0,34.7,24.2,6.2,16.4,98.7,71250,0.0,01731
354,0.3,77.1,12.4,4.9,11.7,97.3,191208,3.9,01740
355,0.0,81.3,12.5,7.9,11.4,96.9,247656,0.9,01741
356,0.6,77.0,14.8,9.5,11.3,97.2,183657,2.3,01742
357,0.0,70.6,27.8,1.3,23.8,97.2,162350,4.7,01745
358,1.8,65.8,12.8,7.4,9.8,94.1,149614,2.2,01746
359,1.7,46.2,4.8,12.1,2.8,90.6,120750,5.5,01747
360,0.3,75.1,20.3,5.7,16.5,92.3,191439,2.1,01748
361,4.5,45.4,23.3,12.1,17.5,93.3,103086,5.8,01749
362,4.2,40.6,38.8,10.8,29.1,93.4,94199,10.3,01752
363,2.2,63.1,9.6,14.0,8.7,97.0,112524,4.4,01754
364,1.1,53.0,13.8,6.4,10.3,95.9,135909,8.7,01756
365,6.5,34.3,34.3,8.8,25.7,90.1,93100,6.4,01757
366,0.7,69.9,22.5,8.7,20.4,94.3,133623,3.7,01760
367,0.0,81.6,15.1,3.9,10.6,97.2,242688,1.7,01770
368,1.9,70.9,22.0,5.8,20.5,96.5,188000,3.4,01772
369,0.6,87.3,8.1,12.0,10.6,94.4,185288,7.5,01773
370,0.4,74.3,10.5,8.4,9.3,98.8,166833,2.1,01775
371,0.6,83.6,12.6,5.8,11.7,98.1,234427,1.9,01776
372,1.0,78.3,18.5,8.0,16.3,97.5,207721,1.9,01778
373,2.8,47.7,23.8,11.3,20.2,92.5,104780,8.5,01801
374,1.7,58.2,20.8,9.3,19.3,95.6,134189,4.8,01803
375,1.6,75.6,20.1,7.3,16.7,97.0,162694,4.3,01810
376,1.9,43.2,19.0,9.9,15.0,96.0,138397,5.6,01821
377,1.4,56.5,14.9,10.6,12.4,95.6,137778,6.6,01824
378,2.6,34.4,15.7,13.8,10.3,89.5,102335,9.8,01826
379,0.4,59.2,8.6,8.2,6.4,99.0,193583,1.0,01827
380,5.1,28.9,25.5,15.1,13.2,87.4,72195,23.8,01830
381,3.8,26.9,26.8,15.7,12.9,89.9,78151,24.0,01832
382,0.8,55.9,3.3,9.6,3.2,93.5,148810,3.3,01833
383,0.9,45.0,3.1,8.6,3.2,93.9,131952,4.1,01834
384,1.9,37.6,15.1,9.7,8.3,93.4,102162,8.1,01835
385,16.2,14.1,82.7,24.2,43.4,68.0,30696,55.9,01840
386,19.1,12.5,81.2,13.0,45.6,79.6,51574,45.0,01841
387,10.5,19.5,70.8,12.2,38.1,86.3,72630,31.9,01843
388,5.8,30.7,37.2,11.7,23.2,90.5,93739,14.7,01844
389,2.1,59.6,14.9,12.2,12.7,95.5,131852,6.2,01845
390,8.7,16.4,38.1,14.5,25.5,85.5,66069,25.0,01850
391,14.4,30.1,51.6,13.1,37.9,86.3,79330,26.8,01851
392,7.4,32.1,37.8,14.6,26.8,83.4,76272,20.1,01852
393,9.0,27.9,36.4,16.2,22.9,86.4,66645,26.7,01854
394,0.9,33.2,6.9,12.4,3.9,90.0,100321,13.0,01860
395,1.9,35.1,16.8,9.5,11.7,95.8,125159,7.9,01862
396,1.3,45.5,14.2,11.1,10.7,93.9,128682,5.9,01863
397,1.3,57.0,10.5,11.8,8.1,97.7,141442,7.3,01864
398,2.4,64.5,11.6,9.1,8.5,94.0,154505,1.8,01867
399,1.9,42.8,12.4,10.9,9.6,93.8,120891,3.3,01876
400,2.1,47.8,16.2,10.6,11.0,97.7,140901,10.6,01879
401,1.7,56.9,11.6,11.0,9.1,93.0,125707,5.4,01880
402,0.7,72.4,24.1,6.3,20.3,94.6,174424,3.6,01886
403,1.3,47.9,9.3,10.1,7.6,95.9,151034,5.1,01887
404,1.2,77.3,25.0,6.4,19.6,94.3,208531,1.1,01890
405,18.5,30.0,69.1,22.6,63.8,71.7,20699,49.8,01901
406,16.7,19.3,60.9,14.6,41.2,82.3,59445,32.7,01902
407,7.7,30.6,30.3,10.1,22.2,90.6,94809,12.5,01904
408,11.0,19.2,51.0,15.0,34.8,90.8,74792,27.2,01905
409,4.3,29.8,25.1,14.7,16.9,90.8,96064,9.7,01906
410,1.3,63.5,23.4,9.9,19.8,95.9,116161,5.3,01907
411,0.5,62.4,8.9,9.8,6.4,96.6,105867,4.7,01908
412,0.8,41.3,6.0,13.0,7.3,91.8,91010,10.8,01913
413,1.1,51.5,12.2,10.4,10.0,90.7,98474,11.8,01915
414,1.1,69.7,7.5,9.6,6.5,97.0,203750,0.7,01921
415,1.9,48.9,5.9,7.7,2.3,97.9,197583,7.0,01922
416,1.5,47.6,11.6,11.1,9.2,93.7,116636,5.8,01923
417,1.7,63.3,2.9,12.3,3.2,95.3,133026,9.1,01929
418,2.4,39.6,11.2,9.7,9.4,89.1,84465,11.0,01930
